               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,             0.05713,            0.073808,            0.032021,             0.45955,             0.31507,             0.30523,             0.16729,            0.055454,            0.054866,            0.030624,            0.005479,            0.005479,            0.005479
                 139,            0.056965,            0.073717,            0.031812,             0.45862,             0.31555,             0.30536,             0.16741,            0.055446,            0.054867,            0.030615,            0.005446,            0.005446,            0.005446
                 140,             0.05682,              0.0734,            0.031997,             0.46096,             0.31435,             0.30563,             0.16762,            0.055438,            0.054871,            0.030602,            0.005413,            0.005413,            0.005413
                 141,             0.05681,            0.073427,            0.031699,             0.45825,             0.31576,             0.30586,             0.16781,            0.055431,            0.054872,            0.030591,             0.00538,             0.00538,             0.00538
                 142,            0.056824,            0.073899,            0.031824,             0.45768,             0.31507,             0.30589,              0.1678,            0.055423,            0.054869,            0.030575,            0.005347,            0.005347,            0.005347
                 143,            0.056876,            0.073246,            0.031718,             0.45799,             0.31443,             0.30592,               0.168,            0.055415,            0.054872,            0.030563,            0.005314,            0.005314,            0.005314
                 144,            0.056893,            0.073812,            0.031791,              0.4604,             0.31304,             0.30598,              0.1681,            0.055408,            0.054871,            0.030548,            0.005281,            0.005281,            0.005281
                 145,            0.056777,             0.07284,            0.031773,             0.46053,             0.31365,             0.30611,             0.16825,            0.055403,            0.054877,            0.030539,            0.005248,            0.005248,            0.005248
                 146,            0.056769,            0.073854,            0.031698,             0.45992,             0.31412,             0.30621,             0.16848,            0.055397,            0.054888,            0.030528,            0.005215,            0.005215,            0.005215
                 147,            0.056693,            0.073252,            0.031339,             0.46036,             0.31381,             0.30616,             0.16853,            0.055388,             0.05489,             0.03052,            0.005182,            0.005182,            0.005182
                 148,            0.056743,             0.07284,             0.03127,             0.46243,             0.31376,             0.30646,             0.16871,            0.055381,            0.054893,            0.030513,            0.005149,            0.005149,            0.005149
                 149,            0.056615,            0.072998,            0.031273,             0.46353,             0.31348,             0.30642,             0.16874,            0.055375,            0.054897,            0.030501,            0.005116,            0.005116,            0.005116
                 150,            0.056525,             0.07338,            0.031247,              0.4635,             0.31422,             0.30651,             0.16866,            0.055369,              0.0549,            0.030491,            0.005083,            0.005083,            0.005083
                 151,            0.056559,             0.07347,            0.031385,             0.46281,             0.31462,             0.30673,             0.16876,            0.055365,             0.05491,            0.030485,             0.00505,             0.00505,             0.00505
                 152,            0.056551,            0.073018,             0.03136,             0.46368,              0.3142,             0.30692,             0.16873,            0.055361,            0.054916,            0.030478,            0.005017,            0.005017,            0.005017
                 153,            0.056502,            0.073294,            0.031221,             0.46651,             0.31339,             0.30708,             0.16895,            0.055355,            0.054919,            0.030468,            0.004984,            0.004984,            0.004984
                 154,            0.056575,            0.072812,            0.030965,              0.4676,             0.31319,             0.30729,             0.16896,             0.05535,            0.054925,             0.03046,            0.004951,            0.004951,            0.004951
                 155,            0.056393,            0.073276,            0.031183,             0.46786,             0.31276,             0.30722,             0.16907,            0.055346,            0.054935,            0.030449,            0.004918,            0.004918,            0.004918
                 156,            0.056418,            0.073673,             0.03105,             0.46683,             0.31261,             0.30732,             0.16911,            0.055341,             0.05494,            0.030443,            0.004885,            0.004885,            0.004885
                 157,            0.056466,             0.07304,            0.030972,             0.46644,              0.3121,             0.30737,             0.16922,            0.055335,            0.054946,            0.030429,            0.004852,            0.004852,            0.004852
                 158,             0.05642,            0.073179,            0.030918,             0.46885,             0.31288,             0.30726,             0.16917,            0.055329,            0.054955,             0.03042,            0.004819,            0.004819,            0.004819
                 159,            0.056308,            0.073462,            0.030912,             0.47005,             0.31236,             0.30748,             0.16935,            0.055324,            0.054962,            0.030412,            0.004786,            0.004786,            0.004786
                 160,            0.056316,            0.073157,            0.030903,              0.4689,             0.31256,             0.30754,             0.16951,            0.055321,            0.054973,            0.030406,            0.004753,            0.004753,            0.004753
                 161,            0.056198,             0.07245,            0.030782,             0.47006,             0.31218,              0.3075,             0.16952,            0.055316,            0.054982,            0.030397,             0.00472,             0.00472,             0.00472
                 162,            0.056201,            0.073178,            0.030752,             0.46906,             0.31239,             0.30783,             0.16959,            0.055312,            0.054993,            0.030387,            0.004687,            0.004687,            0.004687
                 163,            0.056186,            0.072672,            0.030701,             0.46688,             0.31259,             0.30785,             0.16956,            0.055307,            0.055001,            0.030378,            0.004654,            0.004654,            0.004654
